"","EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift"
"328",2,4,"S6",41.399,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",1,1,"CompactCars",0,0
"329",2.5,5,"M5",44.5159,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"330",2.5,5,"S6",42.4888,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0
"334",3,6,"S6",35.8,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,0
"345",6.8,8,"S8",23.4,"Turbocharged",8,0,0,"TwoWheelDriveRear",1,1,"MidsizeCars",1,0
"352",4.4,8,"S8",33.0499,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0
"353",4.4,8,"S8",33.6032,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0
"354",2.4,4,"S6",42,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"355",3.6,6,"S6",37.4874,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"356",3.6,6,"S6",36.1,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0
"357",2,4,"S6",39.4,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"358",2,4,"M6",44.7,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"359",2.4,4,"S6",42.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"373",2,4,"A4",41.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"374",2,4,"A6",43.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"375",3.6,6,"A6",40.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"385",3,6,"S6",39.7,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"390",2.5,6,"S7",40.8075,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0
"391",2.5,6,"S7",37.98,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,0
"392",3.7,6,"S7",36.7528,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,1
"393",3.7,6,"S7",33.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1
"394",5.6,8,"S7",34.5,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,1
"395",5.6,8,"S7",32.4,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"MidsizeCars",1,1
"413",3,6,"S6",39.7,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"418",2.5,4,"AV",51.6,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"422",2.3,4,"M6",34.7,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0
"425",3,6,"A7",47.1,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0
"455",4.2,8,"S8",35.7222,"NaturallyAspirated",8,0,0,"AllWheelDrive",2,2,"LargeCars",1,0
"457",3,6,"S8",37.9997,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"LargeCars",1,1
"458",4.4,8,"S8",31.2274,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"459",4.4,8,"S8",30.548,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"LargeCars",1,0
"460",3,6,"S6",35.4966,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"461",3,6,"S6",35.4966,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"467",4.4,8,"S8",33.6032,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"468",4.4,8,"S6",29.8378,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"469",4.4,8,"S6",27.7307,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"LargeCars",1,0
"470",4.4,8,"S6",29.8378,"Turbocharged",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"471",4.4,8,"S6",27.7307,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"LargeCars",1,0
"479",3.6,6,"A5",37.9,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"480",5.7,8,"A5",34.5,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"LargeCars",1,0
"495",4.6,8,"A6",33.9,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0
"514",3.6,6,"A7",37.2998,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1
"515",3.6,6,"A7",36.544,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"LargeCars",1,1
"528",3,6,"M6",36.9202,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SmallStationWagons",1,1
"529",3,6,"S6",37.4259,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SmallStationWagons",1,1
"530",3,6,"M6",35.4354,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SmallStationWagons",1,1
"531",3,6,"S6",35.891,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,1
"557",1.6,4,"M6",43.2979,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
"558",1.6,4,"AVS6",45.5991,"Turbocharged",1,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
"559",1.6,4,"AVS6",41.7,"Turbocharged",1,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0
"560",2.4,4,"M5",38.7,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
"561",2.4,4,"S4",38.7,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0
"562",2.5,4,"M5",37.5899,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"SmallStationWagons",0,1
"563",2.5,4,"S4",36.6557,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"SmallStationWagons",0,1
"564",2.5,4,"M5",34.4341,"Turbocharged",5,0,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0
"565",2.5,4,"M6",31.3669,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SmallStationWagons",1,0
"583",3.5,6,"A7",32.2,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"Other",1,0
"646",3.7,6,"A4",28.1,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0
"647",4.7,8,"A5",25.7,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0
"648",3.7,6,"A4",27.8,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0
"649",4.7,8,"A5",25.6,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0
"650",5.7,8,"A5",27.2,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",1,0
"654",3.7,6,"A6",31.3641,"NaturallyAspirated",6,1,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0
"655",3.7,6,"S6",31.3639,"NaturallyAspirated",6,0,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0
"656",5,8,"A6",28.716,"NaturallyAspirated",6,1,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0
"657",5,8,"S6",28.7009,"NaturallyAspirated",6,0,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0
"673",3.7,6,"A4",24.4,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0
"674",4.7,8,"A5",25.6,"NaturallyAspirated",5,0,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0
"675",4.7,8,"A5",24.6,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0
"676",5.7,8,"A5",25.6,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0
"680",3.7,6,"A6",28.5668,"NaturallyAspirated",6,1,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0
"681",3.7,6,"S6",28.5674,"NaturallyAspirated",6,0,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0
"682",5,8,"A6",25.8975,"NaturallyAspirated",6,1,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0
"683",5,8,"S6",25.8972,"NaturallyAspirated",6,0,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0
"684",6.2,8,"S6",19.5139,"NaturallyAspirated",6,0,1,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0
"692",2.2,4,"A6",30.45,"Turbocharged",6,0,0,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",0,0
"702",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"703",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"704",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"707",4.6,8,"A4",23,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"708",5.4,8,"A4",21.8,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"709",4.6,8,"A4",23,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"710",5.4,8,"A4",21.6412,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"711",6.8,10,"A5",18.6,"NaturallyAspirated",5,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"712",5.4,8,"A4",21.2,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansCargoTypes",0,0
"716",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"717",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"718",6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0
"722",4.8,8,"A6",22.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"723",6,8,"A6",21.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"724",6,8,"A6",21.6285,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"726",4.6,8,"A4",21.9,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansPassengerType",0,0
"727",5.4,8,"A4",21.2,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansPassengerType",0,0
"728",6.8,10,"A5",17.7,"NaturallyAspirated",5,1,1,"TwoWheelDriveRear",1,1,"VansPassengerType",0,0
"729",5.4,8,"A4",20.6,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"VansPassengerType",0,0
"731",4.8,8,"A6",22.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"732",6,8,"A6",21.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"733",6,8,"A6",21.6515,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0
"736",3.6,6,"A6",35,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0
"737",3.6,6,"A6",35,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0
"742",2.7,4,"S6",37,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0
"743",3.5,6,"S6",34,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0
"745",3.5,6,"S6",30.0493,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"Other",1,0
"756",6,8,"A6",21.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0
"769",3.6,6,"A5",32.3,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"770",5.7,8,"A5",27.2,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0
"771",2,4,"A4",36.8,"NaturallyAspirated",4,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"772",3.6,6,"A6",35.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"773",3.7,6,"A4",30.4,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",0,0
"774",4,6,"A5",29.4,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",0,0
"783",3.5,6,"A6",34.763,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"784",3.5,6,"S6",34.7675,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"789",6,8,"AV",32.8,"NaturallyAspirated",1,0,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0
"792",6,8,"A6",21.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0
"823",2.4,4,"A6",40.3,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"824",2.4,4,"M6",37.3,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"825",3.5,6,"A6",35.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"831",5.4,8,"A6",24.1556,"NaturallyAspirated",6,1,1,"FourWheelDrive",2,1,"SpecialPurposeVehicleSUV2WD",1,0
"846",2,4,"M5",43.2,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"847",2,4,"AVS6",42.9733,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"870",3.2,6,"S6",34.5424,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"871",3.2,6,"S6",34.5424,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0
"881",3,6,"S8",35.5052,"NaturallyAspirated",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"882",3,6,"S8",35.9931,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"884",3,6,"S8",32.286,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"885",4.4,8,"S8",28.1647,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"891",6,8,"AV",32.4,"NaturallyAspirated",1,0,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"893",6.2,8,"A6",24.2,"NaturallyAspirated",6,1,0,"AllWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"894",6.2,8,"A6",24.2,"NaturallyAspirated",6,1,0,"AllWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"900",5.3,8,"A6",29,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"901",5.3,8,"A6",29,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"904",6,8,"A6",21.2,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"906",3.6,6,"A5",31.2,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"907",5.7,8,"A5",27.2941,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"908",3.6,6,"A6",32.9,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"909",3.7,6,"A4",28.5,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",0,0
"910",4,6,"A5",28.5,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,0
"926",6,8,"AV",32.4,"NaturallyAspirated",1,0,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"927",5.3,8,"A6",29,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"928",6.2,8,"A6",24.2,"NaturallyAspirated",6,1,0,"AllWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"929",6,8,"A6",21.2,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0
"944",5,8,"S7",27.4375,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1
"959",2.4,4,"A6",37.4,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
"960",3.5,6,"A6",34.9,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0
