"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87","Z88","Z89","Z90","Z91","Z92","Z93","Z94","Z95","Z96","Z97","Z98","Z99","Z100","Z101","Z102","Z103","Z104","Z105","Z106","Z107","Z108","Z109","Z110","Z111","Z112","Z113","Z114","Z115","Z116","Z117","Z118","Z119","Z120","Z121","Z122","Z123","Z124","Z125","Z126","Z127","Z128","Z129","Z130","Z131","Z132","Z133","Z134","Z135","Z136","Z137","Z138","Z139","Z140","Z141","Z142","Z143","Z144","Z145","Z146","Z147","Z148","Z149","Z150","Z151","Z152","Z153","Z154","Z155","Z156","Z157","Z158","Z159","Z160","Z161","Z162","Z163","Z164","Z165","Z166","Z167","Z168","Z169","Z170","Z171","Z172","Z173","Z174","Z175","Z176","Z177","Z178","Z179","Z180","Z181","Z182","Z183","Z184"
"11",4,4,4,6,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4.4,5.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.1,4,4,4,4,4,4,4,4,4,4,4.8,4,4,4,4,4,4,4,4.5,5,4,4,4,4,4,4,4,4,4,5.6,4,4,5.1,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4,4,4,4,4,4
"12",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"13",5.4,4,4,6,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4
"14",6,4,4.5,6.7,0,5.3,4,4,4,5.6,5.5,4,4,4,5.2,4,4,4.5,5.1,4,4,4,4.5,4,4,5,4,4,4,4,4,6,4,4,4.5,4,4,0,4,4.5,0,5,0,4,4,4.9,4,4.5,4,4,5.1,4,4,4,4,4,4,4.5,4,4,4,4,4,4.6,4,4,4,4.1,4,4,4.9,4.5,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4.5,4.5,4.5,4,4,0,4,4.5,5.2,4.2,4,4,4,4,4.5,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4.3,4,4,4,4,4,4,5.3,4.5,4,4,4,4.4,4,4,4,4,4.5,5,4.6,4,4,4,4,0,4,4,4,4,4,4.4,4,4,4,4,4,4,0,4.5,4,0,4,4,0,0,4,0,4,4,4,4,4,0,4,0,4.5,4,4,4,4,4,4,5.6,5,4.6,4
"15",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,0,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"16",4.5,4,4,5.5,4,4,0,4,4,4,4,4,4,4,6.5,4,4,4,4,4.8,4.9,4,5.3,5.1,4,4,4,4,4,4,4,4,4,4.7,4,4,4.9,5.4,4,4.3,5.8,4.5,4.2,5.7,4,4,4,5.2,4,4,4.7,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4.8,4,4,4,4.4,4,4,4.8,0,4,4,4.4,4,4.5,4,4,4,4,4,4.8,5,0,4,4,4,4,4,5.2,5,5.1,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4.5,4,4,4,4,4,4,4,4.3,4.8,4,4.5,4,4,4,4,4,5.1,4,5.4,4,4,4,4,4.9,4,4,4,4,4,4,4,5.3,4,4,4,5.3,4,4,4,4,0,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,5,4,4.5,5.4,4,4,4
"17",4,4,4,6,4,4,4,4,4,4,4,4,4.6,4,4,4,4,5.2,5.8,4,4,4,4,4,5.9,5.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.3,4,4,4,4,4.5,4.5,4,4,4,4,4,4.5,4,4,4,4,4,5.1,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4.5,4,4,5.1,4,4,4,4,4,4.5,6.4,4,4,4,4,4,4,5.4,4,4,4,4,4,4.5,4,4,4,4,4.8,4,0,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4,4,4.5,4.7,4,4,4,4,4,4,4,4,4,4,4.2,0,4,4,4,4.7,4,4,4,4,4,4.5,4,4,4,4.5,4,4,4,4,5.5,4
"18",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4.5,4,4,4,4,4,4.5,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4,4
"19",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,7,4,4,4,4.5,4,4.5,4.9,4,4,4,4,4,4,4,4.8,5.5,4,4.9,5.4,4,5.2,4,5.4,4.4,4,4,4.9,4,5.7,4,4.6,5.9,7.6,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,5.6,4,4,5.7,6.4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.1,5,4,4,4,4,4,4.6,4,4,4,4.5,4.4,5.2,5.5,5.5,4,5.6,4,4,4,4,4,4,4,5.3,4,4,4,4,4,5.6,6.8,4,4,0,4,4,4,4,4,4,4,4.7,4.5,4,4,4,4,4,4,5.5,4.9,4,4,4,4,4,4,4,4,4,4.5,6,4,4.6,5.1,4,4,5.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.6,4,4,4,5.6,4,5.9,5.6,4.8,6,4
"20",4,4,4,6,4,4,4,4,5.7,4,5.2,4.5,4,4,4,4.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.9,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.2,5.2,4,4
"21",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4.5,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5.3,4,4,4,4,5.5,5.4,4,4,4,4,4,4,4,4,4,4,4,4,5.5,4.5,4,4,4,7.2,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,5.2,4,4,4,5.1,4,4,4,4,4.5,5.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.1,4,4.5,4,4,4,4,4,4.5,4,4
"22",4,4,4,5.5,4,4.9,4,4,4,4.5,4,4,4,4,4.9,4.5,4,5.4,6.5,4,4,4,4,4,5.1,5.7,4.6,4,4,4,4,4,4,5,4,4,4.9,4,4,4.7,4,4,4,4.7,4,6.1,4,5,4,4.5,5.5,5,4,4,4,4.5,4,4,4,4,4,4,4,5.2,4,0,4.5,5.3,4,4,5.5,4.5,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4.6,4,4,4,4,4,4,4,5.6,5.3,4,4,4,4.5,5.7,5.4,4,4,4,4,4,4,5.2,4,4.5,4,4,4,5.2,5.5,4,4,5.7,4,4,4,4,6.3,4,4,4.2,4,5.7,4,4,4.8,4,5.2,6.9,4.7,4.5,4,4,4,4,4,4,4,4,5.9,5.3,4,4.7,5,4,4,4.9,4,5.1,4.9,4,4,4,4,4,4,0,4,4.5,4,4,4,0,4,0,4.9,4,4,4,5,4,6.1,7.2,5.2,5.6,4
"23",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"24",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.9,4.5,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4
"25",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4.5,4,4,4,4,4,4.9,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.8,4,4,4,4,4,4,4,4,4.6,4,4,4,4,5.6,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"26",4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4.5,4,4,4,4
"27",5,4,4,4.8,4,4.7,4,4.4,4,4.5,4.5,4,4,4,4,4,4.5,4,5.2,4,4,4,4.5,4,4,4.5,4,4.3,4,4,4.3,4,4,5.3,4.5,4,4.3,4,4,4,5.5,5.4,4,4,4,4,4,4,4,4,5.3,4.6,4,4,4,4,4,4.4,4,5.9,0,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4.5,4,6,0,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,5.1,4,4.5,4,4,4,4,4,4.5,4.5,4,4,4,4,4.8,4,4,4,4,4.4,4,4,4,4,4,4,4,4,4.5,4,4,4,4.5,4,5,4.5,4,4,5,5.8,5.2,4.2,4,4,4,4,0,4,4,5.1,4,4,4.5,5,4.3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,5.3,4,4.5,4
"28",4.5,4,4.1,4.8,4,4.7,5,4.5,4,4,4,4,4,4,4.5,4,4,4.5,5.4,4,4.5,4,4.5,4.5,4.9,5.1,4,5.4,4,4,4.5,4,4,5.9,5.6,4,5,6.5,4.5,6.3,6.2,6.8,6.5,6.4,4.5,5.1,4,5.1,4,5,5.7,5.4,4,4,4,4,4,4,4,5.3,0,4,4,5,0,4,4,5.4,4,4,5.9,4,4,4.9,4,4,5,4,4.9,4,4,4.5,4,4,4,4,5,4,4.9,4.5,4,4.3,7.2,4,4,4,5.2,5,6.8,7.4,6.6,4,5.2,4,4,4,4,4,4,4,4.9,4.5,4,4,4,4,5.5,5,4,4.8,5.2,4,4,5.1,4.5,4.9,4.8,4,4.8,5,4.9,5.3,5,4,4.8,5,5.4,4.9,5.3,4,4.5,4.7,4,4,4,4,4.5,4.8,4.5,4,6.4,4.5,4.9,4,5,4,4,4,4,4,4,4,4,4,4,4.7,6.2,5,4,4,4,4,4,4,4,4.2,4,4.9,4.7,5.9,5.6,4.5,4.5,4
"29",4.5,4,4,5.5,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,5.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4.5,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4.5,0,4,4,4,4,5.1,4,4,4,4,4,4
