"","Class","date","plant.stand","precip","temp","hail","crop.hist","area.dam","sever","seed.tmt","germ","plant.growth","leaves","leaf.halo","leaf.marg","leaf.size","leaf.shread","leaf.malf","leaf.mild","stem","lodging","stem.cankers","canker.lesion","fruiting.bodies","ext.decay","mycelium","int.discolor","sclerotia","fruit.pods","fruit.spots","seed","mold.growth","seed.discolor","seed.size","shriveling","roots"
"24","rhizoctonia-root-rot","0","1","2","0","0","0","1","1","1","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"25","rhizoctonia-root-rot","0","1","2","0","0","1","1","2","1","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"26","rhizoctonia-root-rot","1","1","2","0","0","3","1","2","0","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"27","rhizoctonia-root-rot","1","1","2","0","0","0","1","1","0","1","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"28","rhizoctonia-root-rot","2","1","2","0","0","2","1","1","0","1","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"29","rhizoctonia-root-rot","1","1","2","0","0","1","1","2","0","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"30","rhizoctonia-root-rot","2","1","2","0","0","1","1","2","0","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"31","phytophthora-rot","0","1","2","1","1","1","1","1","0","0","1","1","0","2","2","0","0","0","1","0","1","2","0","1","0","0","0","3","4","0","0","0","0","0","0"
"32","phytophthora-rot","1","1","2","1",NA,"3","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"33","phytophthora-rot","2","1","2","2",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"34","phytophthora-rot","1","1","2","0","0","2","1","2","1","1","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"35","phytophthora-rot","2","1","2","2",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"36","phytophthora-rot","3","1","2","1",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"37","phytophthora-rot","0","1","1","1","0","1","1","1","0","0","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"38","phytophthora-rot","3","1","2","0","0","2","1","2","1","1","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"39","phytophthora-rot","2","1","1","1",NA,"0","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"40","phytophthora-rot","2","1","2","0","0","1","1","2","0","1","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"41","phytophthora-rot","2","1","2","1",NA,"1","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"42","phytophthora-rot","1","1","2","1",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"1","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"43","phytophthora-rot","0","1","2","1","0","3","1","1","0","0","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"44","phytophthora-rot","0","1","1","1","1","2","1","2","1","0","1","1","0","2","2","0","0","0","1","1","2","2","0","1","0","0","0","3","4","0","0","0","0","0","0"
"45","phytophthora-rot","3","1","2","0","0","1","1","2","1","0","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"46","phytophthora-rot","2","1","2","2",NA,"3","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"47","phytophthora-rot","0","1","2","1","0","2","1","1","0","1","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"48","phytophthora-rot","2","1","1","2",NA,"2","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"49","phytophthora-rot","2","1","2","1","1","1","1","2","0","2","1","1","0","2","2","0","0","0","1","0","1","2","0","1","0","0","0","3","4","0","0","0","0","0","0"
"50","phytophthora-rot","0","1","2","1","0","3","1","1","0","2","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"51","phytophthora-rot","1","1","2","1","0","0","1","2","1","1","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"52","phytophthora-rot","1","1","2","1",NA,"0","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"1","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"53","phytophthora-rot","3","1","2","1",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"54","phytophthora-rot","2","1","2","1",NA,"1","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"55","phytophthora-rot","3","1","2","2",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"56","phytophthora-rot","1","1","2","1","1","3","1","2","0","1","1","1","0","2","2","0","0","0","1","1","1","2","0","1","0","0","0","3","4","0","0","0","0","0","0"
"57","phytophthora-rot","3","1","1","1",NA,"3","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"58","phytophthora-rot","2","1","2","2",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"59","phytophthora-rot","3","1","1","2",NA,"2","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"60","phytophthora-rot","1","1","2","2",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"1","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"61","phytophthora-rot","2","1","2","2",NA,"3","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"62","phytophthora-rot","3","1","1","1",NA,"0","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"63","phytophthora-rot","2","1","2","0","0","1","1","2","0","0","1","1","0","2","2","0","0","0","1","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"64","phytophthora-rot","3","1","1","1",NA,"1","1",NA,NA,NA,"1","1","0","2","2","0","0","0","1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"65","phytophthora-rot","2","1","2","2",NA,"1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"1","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"66","phytophthora-rot","1","1","2","0","0","0","1","2","1","0","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"67","phytophthora-rot","3","1","2","1",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"2","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"68","phytophthora-rot","3","1","2","1",NA,"3","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"69","phytophthora-rot","3","1","1","0","0","2","1","2","1","2","1","1","0","2","2","0","0","0","1","0","2","2","0","0","0","0","0","3","4","0","0","0","0","0","0"
"70","phytophthora-rot","3","1","2","2",NA,"2","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,"3","2",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"1"
"71","brown-stem-rot","4","0","0","1","0","1","3","1","1","2","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"72","brown-stem-rot","4","0","0","1","0","1","3","1","1","2","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"73","brown-stem-rot","3","1","0","0","0","3","0","1","1","2","1","0","0","2","2","0","0","0","1","0","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"74","brown-stem-rot","5","0","0","2","0","1","3","1","1","2","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"75","brown-stem-rot","5","0","0","2","0","2","3","1","1","1","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76","brown-stem-rot","4","0","0","1","0","3","2","1","0","1","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"77","brown-stem-rot","5","0","0","1","1","3","3","1","0","2","1","1","2","0","1","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"78","brown-stem-rot","6","0","1","1","1","2","0","1","1","0","1","0","0","2","1","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"79","brown-stem-rot","5","1","0","0","0","3","2","1","0","0","1","1","0","2","2","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"80","brown-stem-rot","5","1","0","1","0","1","3","1","1","0","1","1","2","0","1","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"81","brown-stem-rot","4","0","1","0","1","2","3","1","1","2","1","0","0","2","2","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"82","brown-stem-rot","4","1","0","0","0","3","2","1","1","1","1","1","2","0","1","0","0","0","1","1","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"83","brown-stem-rot","4","0","0","1","0","2","0","1","1","0","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"84","brown-stem-rot","3","1","0","0","0","2","0","2","0","1","1","1","2","0","1","0","0","0","1","0","0","3","0","0","0","1","0","0","4","0","0","0","0","0","0"
"85","brown-stem-rot","5","0","0","1","0","3","2","1","0","1","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"86","brown-stem-rot","4","0","0","1","0","3","3","1","1","0","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"87","brown-stem-rot","4","0","0","1","0","3","2","1","0","2","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"88","brown-stem-rot","4","0","0","1","0","1","2","1","1","2","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"89","brown-stem-rot","4","0","0","1","0","1","2","1","0","0","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"90","brown-stem-rot","3","0","0","1","0","3","2","1","0","0","0","1","0","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"91","powdery-mildew","5","0","0","1","1","3","3","1","0","1","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","powdery-mildew","6","0","1","0","1","0","0","0","1","2","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","powdery-mildew","1","1","0","1","0","3","3","1","2","0","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","powdery-mildew","6","1","1","0","0","2","2","0","1","2","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","powdery-mildew","4","1","1","0","0","2","2","0","2","0","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","powdery-mildew","6","0","0","1","1","1","1","1","0","2","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","powdery-mildew","2","1","1","0","0","2","2","0","0","1","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","powdery-mildew","6","1","0","1","0","1","1","1","1","2","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","powdery-mildew","5","1","0","1","0","1","1","1","0","1","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","powdery-mildew","1","1","0","1","0","1","1","1","2","0","0","1","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","downy-mildew","6","0","2","0","1","2","1","0","1","2","0","1","2","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"102","downy-mildew","2","0","2","1","1","1","1","1","1","2","0","1","2","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"103","downy-mildew","1","0","2","1","1","3","2","1","0","1","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"104","downy-mildew","4","1","2","2","0","2","2","1","0","1","0","1","1","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"105","downy-mildew","1","0","2","0","1","0","0","1","0","1","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"106","downy-mildew","2","1","2","0","0","3","0","1","0","1","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"107","downy-mildew","2","1","2","1","0","2","0","1","0","1","0","1","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"108","downy-mildew","4","1","2","2","0","2","1","0","1","2","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"109","downy-mildew","4","1","2","0","0","1","2","1","0","1","0","1","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"110","downy-mildew","5","1","2","1","0","3","2","1","0","1","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"111","brown-spot","1","1","2","2","1","3","3","1","0","2","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","brown-spot","2","0","2","1","0","2","3","1","1","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","brown-spot","2","0","2","1","0","2","3","1","1","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","brown-spot","2","0","2","1","0","1","0","1","2","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","brown-spot","1","1","2","2","1","3","3","1","1","1","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","brown-spot","1","1","2","1","0","2","3","1","0","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","brown-spot","0","1","2","2","1","3","3","1","2","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","brown-spot","2","0","2","1","0","2","3","1","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","brown-spot","1","0","2","1","0","2","3","1","1","1","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","brown-spot","2","1","2","1","0","3","3","1","0","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","brown-spot","5","0","2","1","0","2","2","1","0","1","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"122","brown-spot","1","1","2","1","0","3","3","1","1","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","brown-spot","1","0","2","1","0","3","3","1","2","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","brown-spot","4","0","2","1","0","1","3","1","0","0","0","1","2","0","1","1","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"125","brown-spot","1","0","2","1","0","2","3","1","0","1","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","brown-spot","4","1","2","1","0","3","3","1","0","2","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"127","brown-spot","2","0","2","1","0","3","3","1","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","brown-spot","0","1","1","1","1","2","2","0","2","1","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","brown-spot","1","1","1","1","1","2","0","0","0","2","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","brown-spot","1","1","2","1","0","1","0","1","2","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","brown-spot","1","0","2","1","0","1","3","1","0","0","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"132","brown-spot","2","0","2","1","0","3","3","1","1","1","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","brown-spot","3","0","2","1","0","2","3","2","2","1","0","1","2","0","1","0","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0"
"134","brown-spot","2","1","2","2","1","3","1","1","1","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","brown-spot","1","0","2","1","0","2","3","1","2","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","brown-spot","1","1","2","1","0","2","3","1","0","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","brown-spot","5","0","2","1","0","1","3","1","0","0","0","1","2","0","1","1","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"138","brown-spot","4","1","1","1","1","2","2","0","0","2","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"139","brown-spot","3","1","2","1","0","1","3","1","0","2","0","1","2","0","1","1","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"140","brown-spot","1","0","2","1","0","3","3","1","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","brown-spot","4","0","2","1","0","2","3","2","1","1","0","1","2","0","1","0","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0"
"142","brown-spot","2","1","2","1","0","2","3","1","0","2","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","brown-spot","2","1","1","1","1","0","0","1","1","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","brown-spot","3","1","2","1","0","3","1","1","0","2","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"145","brown-spot","3","0","2","1","0","3","3","2","2","0","0","1","2","0","1","0","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0"
"146","brown-spot","2","0","2","1","0","2","2","1","0","1","0","1","2","0","1","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"147","brown-spot","3","0","2","1","0","3","1","1","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","brown-spot","3","1","2","1","0","3","1","1","0","2","0","1","2","0","1","1","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"149","brown-spot","2","1","2","1","0","3","3","2","2","2","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","brown-spot","5","1","2","1","0","3","3","2","0","2","0","1","2","0","1","0","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0"
"151","bacterial-blight","5","0","2","1","1","3","3","1","1","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","bacterial-blight","4","0","2","2","1","2","3","1","1","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","bacterial-blight","2","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","bacterial-blight","3","0","1","1","0","1","2","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","bacterial-blight","3","0","1","1","0","3","2","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","bacterial-blight","3","0","2","1","1","2","1","1","1","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","bacterial-blight","3","0","1","1","0","1","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","bacterial-blight","4","0","2","1","1","0","3","1","1","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
